id,title,current_domain,min_age,action,suggested_content_status,suggested_biblical_domain,suggested_safety_note,notes
cognitive-001,Object Permanence Play,cognitive,6,KEEP,reviewed,wisdom,,
cognitive-002,Shape Sorter Discovery,cognitive,12,KEEP,reviewed,wisdom,,
cognitive-003,Simple Puzzles,cognitive,18,KEEP,reviewed,wisdom,,
cognitive-004,Color Matching Game,cognitive,24,KEEP,reviewed,wisdom,,
cognitive-005,Counting Steps,cognitive,24,KEEP,reviewed,wisdom,,
cognitive-006,Memory Card Game,cognitive,30,KEEP,reviewed,wisdom,,
cognitive-007,Pattern Play,cognitive,30,RESTRICT,restricted,wisdom,Warning: Contains beads. Strict adult supervision required. Choking hazard.,Restricted material for age < 36m: beads
cognitive-008,Cause and Effect Toys,cognitive,6,RESTRICT,restricted,wisdom,Warning: Contains buttons. Strict adult supervision required. Choking hazard.,Restricted material for age < 36m: buttons
cognitive-009,Size Sorting,cognitive,24,KEEP,reviewed,wisdom,,
cognitive-010,Simple Categories,cognitive,30,KEEP,reviewed,wisdom,,
motor-001,Tummy Time Play,motor,0,KEEP,reviewed,stature,,
motor-002,Reaching and Grasping,motor,3,KEEP,reviewed,stature,,
motor-003,Ball Rolling,motor,9,KEEP,reviewed,stature,,
motor-004,Stacking Blocks,motor,12,KEEP,reviewed,stature,,
motor-005,Walking Practice,motor,9,KEEP,reviewed,stature,,
motor-006,Scribbling Fun,motor,12,KEEP,reviewed,stature,,
motor-007,Threading and Lacing,motor,24,RESTRICT,restricted,stature,Warning: Contains beads. Strict adult supervision required. Choking hazard.,Restricted material for age < 36m: beads
motor-008,Playdough Sculpting,motor,18,KEEP,reviewed,stature,,
motor-009,Climbing Safe Structures,motor,18,KEEP,reviewed,stature,,
motor-010,Pouring and Scooping,motor,18,KEEP,reviewed,stature,,
language-001,Talking Time,language,0,KEEP,reviewed,wisdom,,
language-002,Picture Book Reading,language,6,KEEP,reviewed,wisdom,,
language-003,Nursery Rhymes,language,6,KEEP,reviewed,wisdom,,
language-004,Animal Sounds Game,language,12,KEEP,reviewed,wisdom,,
language-005,Simple Instructions,language,18,KEEP,reviewed,wisdom,,
language-006,Story Time,language,18,KEEP,reviewed,wisdom,,
language-007,Naming Body Parts,language,12,KEEP,reviewed,wisdom,,
language-008,Conversation Practice,language,24,KEEP,reviewed,wisdom,,
language-009,Describing Pictures,language,24,KEEP,reviewed,wisdom,,
language-010,Letter Introduction,language,30,KEEP,reviewed,wisdom,,
social-001,Face Time,social-emotional,0,KEEP,reviewed,favor_with_man,,
social-002,Peek-a-Boo,social-emotional,4,KEEP,reviewed,favor_with_man,,
social-003,Gentle Play with Others,social-emotional,12,KEEP,reviewed,favor_with_man,,
social-004,Turn Taking Games,social-emotional,18,KEEP,reviewed,favor_with_man,,
social-005,Emotion Naming,social-emotional,18,KEEP,reviewed,favor_with_man,,
social-006,Pretend Tea Party,social-emotional,24,KEEP,reviewed,favor_with_man,,
social-007,Helper Tasks,social-emotional,18,KEEP,reviewed,favor_with_man,,
social-008,Greeting Practice,social-emotional,12,KEEP,reviewed,favor_with_man,,
social-009,Sharing Stories,social-emotional,30,KEEP,reviewed,favor_with_man,,
